rownum,cz,czname,pop2000,fips,statename,stateabbrv,,le_raceadj_q1_F,le_agg_q1_F,le_raceadj_q2_F,le_agg_q2_F,le_raceadj_q3_F,le_agg_q3_F,le_raceadj_q4_F,le_agg_q4_F,,le_raceadj_q1_M,le_agg_q1_M,le_raceadj_q2_M,le_agg_q2_M,le_raceadj_q3_M,le_agg_q3_M,le_raceadj_q4_M,le_agg_q4_M,,sd_le_raceadj_q1_F,sd_le_agg_q1_F,sd_le_raceadj_q2_F,sd_le_agg_q2_F,sd_le_raceadj_q3_F,sd_le_agg_q3_F,sd_le_raceadj_q4_F,sd_le_agg_q4_F,,sd_le_raceadj_q1_M,sd_le_agg_q1_M,sd_le_raceadj_q2_M,sd_le_agg_q2_M,sd_le_raceadj_q3_M,sd_le_agg_q3_M,sd_le_raceadj_q4_M,sd_le_agg_q4_M,,count_q1_F,count_q2_F,count_q3_F,count_q4_F,,count_q1_M,count_q2_M,count_q3_M,count_q4_M
19,1203,Asheville,"398,505",37,North Carolina,NC,,82.98,82.52,85.62,85.28,86.51,86.16,89.19,88.98,,77.27,76.75,81.73,81.33,84.04,83.68,85.33,85,,0.27,0.27,0.31,0.32,0.36,0.37,0.37,0.39,,0.25,0.24,0.28,0.29,0.34,0.35,0.42,0.43,,"320,236","323,430","289,750","197,950",,"293,361","292,615","256,639","172,403"
20,1204,Andrews,"59,681",37,North Carolina,NC,,84.36,84.09,85.46,85.11,88.23,87.97,88.22,87.9,,77.37,76.94,81.34,80.94,84.49,84.14,85.27,84.91,,0.53,0.56,0.75,0.79,0.73,0.77,1.13,1.19,,0.49,0.49,0.71,0.72,0.78,0.81,1.16,1.21,,"63,122","51,517","37,219","23,036",,"56,192","48,010","31,925","19,465"
21,1301,Bennettsville,"71,586",45,South Carolina,SC,,82.68,81.31,85.87,85.2,84.36,83.53,88.23,87.93,,75.03,73.47,79.26,78.52,81.72,80.92,83.68,83.2,,0.6,0.62,0.72,0.76,1.13,1.18,1.88,1.95,,0.48,0.46,0.7,0.71,0.99,1.01,1.43,1.47,,"74,059","44,472","28,797","12,382",,"60,426","48,308","28,333","10,853"
22,1302,Florence,"548,986",45,South Carolina,SC,,82.85,81.76,84.55,83.89,85.65,85.16,86.99,86.64,,75.93,74.67,79.74,79.01,82.69,82.16,84.11,83.68,,0.24,0.23,0.27,0.28,0.32,0.33,0.42,0.44,,0.2,0.18,0.24,0.24,0.3,0.3,0.39,0.39,,"584,868","389,315","303,839","219,654",,"472,395","364,911","277,671","197,916"
23,1400,Fayetteville,"644,101",37,North Carolina,NC,,82.08,81.24,84.13,83.49,84.35,83.83,87.29,86.94,,75.91,74.82,79.89,79.14,82.83,82.26,84.64,84.2,,0.25,0.24,0.3,0.31,0.35,0.36,0.4,0.41,,0.2,0.19,0.27,0.27,0.32,0.32,0.4,0.41,,"518,038","394,636","333,422","221,534",,"415,872","382,368","320,258","200,975"
24,1500,Wilmington,"361,559",37,North Carolina,NC,,82.82,81.98,84.92,84.38,85.73,85.26,88.27,87.97,,76.09,75.11,80.9,80.31,83.27,82.79,85.58,85.22,,0.3,0.3,0.34,0.35,0.38,0.39,0.36,0.38,,0.26,0.24,0.32,0.32,0.35,0.35,0.42,0.43,,"307,223","263,087","243,156","211,035",,"252,253","240,045","228,908","190,717"
25,1600,Rocky Mount,"216,840",37,North Carolina,NC,,83.21,81.76,85.23,84.41,86.34,85.8,87.17,86.79,,76.27,74.66,79.56,78.65,82.03,81.42,83.65,83.22,,0.39,0.38,0.47,0.48,0.52,0.54,0.7,0.73,,0.34,0.32,0.42,0.41,0.52,0.53,0.64,0.66,,"191,879","147,126","121,048","84,815",,"153,926","135,747","115,643","77,668"
26,1701,Raleigh,"1,412,127",37,North Carolina,NC,,82.54,81.61,84.92,84.37,86.78,86.4,88.2,88.05,,76.59,75.63,80.16,79.53,83.29,82.84,86.15,85.93,,0.21,0.2,0.21,0.21,0.21,0.22,0.21,0.21,,0.17,0.16,0.19,0.19,0.2,0.2,0.19,0.2,,"817,631","960,378","983,683","1,250,601",,"742,356","805,972","915,902","1,225,689"
27,1702,Henderson,"62,926",37,North Carolina,NC,,83.3,81.68,84.28,83.54,85.42,84.69,88.05,87.48,,77.07,75.16,81.07,80.26,83.53,82.8,83.98,83.3,,0.66,0.68,0.88,0.9,1.18,1.24,1.5,1.6,,0.57,0.55,0.81,0.82,0.95,0.99,1.38,1.43,,"62,644","40,748","27,531","14,312",,"50,008","38,378","25,663","12,216"
28,1800,Goldsboro,"222,553",37,North Carolina,NC,,82.33,81.22,84.22,83.4,84.68,84.07,86.92,86.56,,75.81,74.65,79.75,78.97,81.35,80.71,84.28,83.81,,0.41,0.4,0.43,0.46,0.61,0.64,0.77,0.81,,0.33,0.31,0.41,0.42,0.51,0.51,0.76,0.79,,"176,685","138,315","112,931","61,428",,"148,961","139,402","106,811","54,226"
